date,product_id,product_name,category,sales_quantity,price,stock_quantity,promo,holiday,supplier_delay_days,product_icon,base_demand,seasonality_type,shelf_life_days,supplier_name,region
2024-06-19,1,Рис довгозернистий 1 кг,Бакалія,21,69.19,539,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-20,1,Рис довгозернистий 1 кг,Бакалія,27,69.3,512,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-21,1,Рис довгозернистий 1 кг,Бакалія,26,69.64,486,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-22,1,Рис довгозернистий 1 кг,Бакалія,31,61.15,455,1,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-23,1,Рис довгозернистий 1 кг,Бакалія,25,68.86,430,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-24,1,Рис довгозернистий 1 кг,Бакалія,19,69.34,411,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-25,1,Рис довгозернистий 1 кг,Бакалія,22,62.11,580,1,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-26,1,Рис довгозернистий 1 кг,Бакалія,19,69.16,561,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-27,1,Рис довгозернистий 1 кг,Бакалія,23,69.26,538,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-28,1,Рис довгозернистий 1 кг,Бакалія,26,69.64,512,0,1,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-29,1,Рис довгозернистий 1 кг,Бакалія,26,69.7,486,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-06-30,1,Рис довгозернистий 1 кг,Бакалія,24,68.64,462,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-01,1,Рис довгозернистий 1 кг,Бакалія,25,69.58,437,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-02,1,Рис довгозернистий 1 кг,Бакалія,18,68.8,600,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-03,1,Рис довгозернистий 1 кг,Бакалія,22,69.34,578,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-04,1,Рис довгозернистий 1 кг,Бакалія,20,69.58,558,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-05,1,Рис довгозернистий 1 кг,Бакалія,23,69.27,535,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-06,1,Рис довгозернистий 1 кг,Бакалія,27,69.72,508,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-07,1,Рис довгозернистий 1 кг,Бакалія,26,69.62,482,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-08,1,Рис довгозернистий 1 кг,Бакалія,24,68.97,458,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-09,1,Рис довгозернистий 1 кг,Бакалія,23,69.59,670,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-10,1,Рис довгозернистий 1 кг,Бакалія,29,64.05,641,1,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-11,1,Рис довгозернистий 1 кг,Бакалія,21,69.45,620,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-12,1,Рис довгозернистий 1 кг,Бакалія,25,69.52,595,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-13,1,Рис довгозернистий 1 кг,Бакалія,25,68.75,570,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-14,1,Рис довгозернистий 1 кг,Бакалія,23,68.79,547,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-15,1,Рис довгозернистий 1 кг,Бакалія,25,69.09,522,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-16,1,Рис довгозернистий 1 кг,Бакалія,23,69.36,684,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-17,1,Рис довгозернистий 1 кг,Бакалія,27,69.5,657,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-18,1,Рис довгозернистий 1 кг,Бакалія,30,61.26,627,1,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-19,1,Рис довгозернистий 1 кг,Бакалія,23,69.84,604,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-20,1,Рис довгозернистий 1 кг,Бакалія,24,68.85,580,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-21,1,Рис довгозернистий 1 кг,Бакалія,24,69.23,556,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-22,1,Рис довгозернистий 1 кг,Бакалія,22,69.82,534,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-23,1,Рис довгозернистий 1 кг,Бакалія,18,68.92,690,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-24,1,Рис довгозернистий 1 кг,Бакалія,24,69.83,666,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-25,1,Рис довгозернистий 1 кг,Бакалія,26,69.64,640,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-26,1,Рис довгозернистий 1 кг,Бакалія,25,68.82,615,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-27,1,Рис довгозернистий 1 кг,Бакалія,23,69.09,592,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-28,1,Рис довгозернистий 1 кг,Бакалія,23,69.27,569,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-29,1,Рис довгозернистий 1 кг,Бакалія,25,68.97,544,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-30,1,Рис довгозернистий 1 кг,Бакалія,27,69.43,758,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-07-31,1,Рис довгозернистий 1 кг,Бакалія,24,69.61,734,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-01,1,Рис довгозернистий 1 кг,Бакалія,20,71.04,714,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-02,1,Рис довгозернистий 1 кг,Бакалія,26,70.69,688,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-03,1,Рис довгозернистий 1 кг,Бакалія,24,70.74,664,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-04,1,Рис довгозернистий 1 кг,Бакалія,25,70.88,639,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-05,1,Рис довгозернистий 1 кг,Бакалія,22,70.52,617,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-06,1,Рис довгозернистий 1 кг,Бакалія,24,70.39,799,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-07,1,Рис довгозернистий 1 кг,Бакалія,24,71.04,775,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-08,1,Рис довгозернистий 1 кг,Бакалія,18,70.56,757,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-09,1,Рис довгозернистий 1 кг,Бакалія,25,69.75,732,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-10,1,Рис довгозернистий 1 кг,Бакалія,24,70.54,708,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-11,1,Рис довгозернистий 1 кг,Бакалія,28,70.03,680,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-12,1,Рис довгозернистий 1 кг,Бакалія,21,69.87,659,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-13,1,Рис довгозернистий 1 кг,Бакалія,22,70.74,842,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-14,1,Рис довгозернистий 1 кг,Бакалія,22,70.01,820,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-15,1,Рис довгозернистий 1 кг,Бакалія,20,70.63,800,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-16,1,Рис довгозернистий 1 кг,Бакалія,21,70.07,779,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-17,1,Рис довгозернистий 1 кг,Бакалія,23,70.67,756,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-18,1,Рис довгозернистий 1 кг,Бакалія,23,70.49,733,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-19,1,Рис довгозернистий 1 кг,Бакалія,24,69.92,709,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-20,1,Рис довгозернистий 1 кг,Бакалія,21,69.76,916,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-21,1,Рис довгозернистий 1 кг,Бакалія,21,69.85,895,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-22,1,Рис довгозернистий 1 кг,Бакалія,26,70.95,869,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-23,1,Рис довгозернистий 1 кг,Бакалія,20,70.42,849,0,0,3,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-24,1,Рис довгозернистий 1 кг,Бакалія,37,65.21,812,1,1,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-25,1,Рис довгозернистий 1 кг,Бакалія,23,70.22,789,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-26,1,Рис довгозернистий 1 кг,Бакалія,24,69.79,765,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-27,1,Рис довгозернистий 1 кг,Бакалія,19,70.79,955,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-28,1,Рис довгозернистий 1 кг,Бакалія,24,70.76,931,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-29,1,Рис довгозернистий 1 кг,Бакалія,24,70.69,907,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-30,1,Рис довгозернистий 1 кг,Бакалія,23,70.33,884,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-08-31,1,Рис довгозернистий 1 кг,Бакалія,25,70.4,859,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-01,1,Рис довгозернистий 1 кг,Бакалія,25,69.47,834,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-02,1,Рис довгозернистий 1 кг,Бакалія,27,69.57,807,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-03,1,Рис довгозернистий 1 кг,Бакалія,20,70.44,992,0,0,3,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-04,1,Рис довгозернистий 1 кг,Бакалія,23,69.43,969,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-05,1,Рис довгозернистий 1 кг,Бакалія,23,70.82,946,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-06,1,Рис довгозернистий 1 кг,Бакалія,26,69.55,920,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-07,1,Рис довгозернистий 1 кг,Бакалія,22,70.64,898,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-08,1,Рис довгозернистий 1 кг,Бакалія,20,69.55,878,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-09,1,Рис довгозернистий 1 кг,Бакалія,20,70.73,858,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-10,1,Рис довгозернистий 1 кг,Бакалія,23,70.75,1057,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-11,1,Рис довгозернистий 1 кг,Бакалія,23,69.81,1034,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-12,1,Рис довгозернистий 1 кг,Бакалія,24,70.79,1010,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-13,1,Рис довгозернистий 1 кг,Бакалія,20,70.54,990,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-14,1,Рис довгозернистий 1 кг,Бакалія,28,69.52,962,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-15,1,Рис довгозернистий 1 кг,Бакалія,25,70.47,937,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-16,1,Рис довгозернистий 1 кг,Бакалія,23,70.52,914,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-17,1,Рис довгозернистий 1 кг,Бакалія,22,70.04,1146,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-18,1,Рис довгозернистий 1 кг,Бакалія,23,70.83,1123,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-19,1,Рис довгозернистий 1 кг,Бакалія,30,64.26,1093,1,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-20,1,Рис довгозернистий 1 кг,Бакалія,24,69.69,1069,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-21,1,Рис довгозернистий 1 кг,Бакалія,32,63.55,1037,1,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-22,1,Рис довгозернистий 1 кг,Бакалія,23,69.72,1014,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-23,1,Рис довгозернистий 1 кг,Бакалія,29,63.31,985,1,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-24,1,Рис довгозернистий 1 кг,Бакалія,24,70.4,1180,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-25,1,Рис довгозернистий 1 кг,Бакалія,23,70.79,1157,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-26,1,Рис довгозернистий 1 кг,Бакалія,21,70.67,1136,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-27,1,Рис довгозернистий 1 кг,Бакалія,22,70.31,1114,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-28,1,Рис довгозернистий 1 кг,Бакалія,23,69.64,1091,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-29,1,Рис довгозернистий 1 кг,Бакалія,22,69.56,1069,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-09-30,1,Рис довгозернистий 1 кг,Бакалія,26,69.74,1043,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-01,1,Рис довгозернистий 1 кг,Бакалія,23,70.32,1249,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-02,1,Рис довгозернистий 1 кг,Бакалія,26,70.25,1223,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-03,1,Рис довгозернистий 1 кг,Бакалія,20,70.8,1203,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-04,1,Рис довгозернистий 1 кг,Бакалія,22,69.84,1181,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-05,1,Рис довгозернистий 1 кг,Бакалія,31,61.21,1150,1,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-06,1,Рис довгозернистий 1 кг,Бакалія,25,70.0,1125,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-07,1,Рис довгозернистий 1 кг,Бакалія,20,70.23,1105,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-08,1,Рис довгозернистий 1 кг,Бакалія,21,69.82,1305,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-09,1,Рис довгозернистий 1 кг,Бакалія,24,70.05,1281,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-10,1,Рис довгозернистий 1 кг,Бакалія,23,70.29,1258,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-11,1,Рис довгозернистий 1 кг,Бакалія,22,69.76,1236,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-12,1,Рис довгозернистий 1 кг,Бакалія,25,70.09,1211,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-13,1,Рис довгозернистий 1 кг,Бакалія,26,70.31,1185,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-14,1,Рис довгозернистий 1 кг,Бакалія,27,70.78,1158,0,1,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-15,1,Рис довгозернистий 1 кг,Бакалія,30,64.13,1315,1,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-16,1,Рис довгозернистий 1 кг,Бакалія,22,70.83,1293,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-17,1,Рис довгозернистий 1 кг,Бакалія,29,65.35,1264,1,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-18,1,Рис довгозернистий 1 кг,Бакалія,23,70.62,1241,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-19,1,Рис довгозернистий 1 кг,Бакалія,24,69.91,1217,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-20,1,Рис довгозернистий 1 кг,Бакалія,24,71.02,1193,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-21,1,Рис довгозернистий 1 кг,Бакалія,28,70.87,1165,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-22,1,Рис довгозернистий 1 кг,Бакалія,25,69.85,1368,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-23,1,Рис довгозернистий 1 кг,Бакалія,26,69.94,1342,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-24,1,Рис довгозернистий 1 кг,Бакалія,28,64.9,1314,1,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-25,1,Рис довгозернистий 1 кг,Бакалія,21,70.69,1293,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-26,1,Рис довгозернистий 1 кг,Бакалія,20,70.06,1273,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-27,1,Рис довгозернистий 1 кг,Бакалія,26,70.7,1247,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-28,1,Рис довгозернистий 1 кг,Бакалія,24,70.9,1223,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-29,1,Рис довгозернистий 1 кг,Бакалія,25,70.12,1425,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-30,1,Рис довгозернистий 1 кг,Бакалія,17,69.83,1408,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-10-31,1,Рис довгозернистий 1 кг,Бакалія,19,70.97,1389,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-01,1,Рис довгозернистий 1 кг,Бакалія,25,70.02,1364,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-02,1,Рис довгозернистий 1 кг,Бакалія,21,70.78,1343,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-03,1,Рис довгозернистий 1 кг,Бакалія,25,70.65,1318,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-04,1,Рис довгозернистий 1 кг,Бакалія,21,70.32,1297,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-05,1,Рис довгозернистий 1 кг,Бакалія,22,70.02,1489,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-06,1,Рис довгозернистий 1 кг,Бакалія,19,70.66,1470,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-07,1,Рис довгозернистий 1 кг,Бакалія,20,71.14,1450,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-08,1,Рис довгозернистий 1 кг,Бакалія,22,70.26,1428,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-09,1,Рис довгозернистий 1 кг,Бакалія,31,64.43,1397,1,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-10,1,Рис довгозернистий 1 кг,Бакалія,25,70.01,1372,0,0,1,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-11,1,Рис довгозернистий 1 кг,Бакалія,21,70.84,1351,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-12,1,Рис довгозернистий 1 кг,Бакалія,25,70.79,1504,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-13,1,Рис довгозернистий 1 кг,Бакалія,22,69.94,1482,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-14,1,Рис довгозернистий 1 кг,Бакалія,22,71.03,1460,0,0,0,🌾,24,stable,365,AgroTrade LLC,Київ
2024-11-15,1,Рис довгозернистий 1 кг,Бакалія,21,70.79,1439,0,0,2,🌾,24,stable,365,AgroTrade LLC,Київ
